Gene	Gene name	Reliability	Main location	Additional location	Extracellular location	Enhanced	Supported	Approved	Uncertain	Single-cell variation intensity	Single-cell variation spatial	Cell cycle dependency	GO id
ENSG00000000003	TSPAN6	Approved	Cell Junctions;Cytosol	Nucleoli fibrillar center				Cell Junctions;Cytosol;Nucleoli fibrillar center		Cytosol			Cell Junctions (GO:0030054);Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650)
ENSG00000000457	SCYL3	Uncertain	Microtubules	Nuclear bodies					Microtubules;Nuclear bodies				Microtubules (GO:0015630);Nuclear bodies (GO:0016604)
ENSG00000000460	C1orf112	Approved	Mitochondria					Mitochondria					Mitochondria (GO:0005739)
ENSG00000000938	FGR	Approved	Plasma membrane	Aggresome				Aggresome;Plasma membrane					Aggresome (GO:0016235);Plasma membrane (GO:0005886)
ENSG00000000971	CFH	Approved	Vesicles		Predicted to be secreted			Vesicles					Vesicles (GO:0043231)
ENSG00000001084	GCLC	Approved	Nucleoplasm	Cytosol;Nucleoli				Cytosol;Nucleoli;Nucleoplasm		Cytosol;Nucleoplasm			Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ENSG00000001167	NFYA	Supported	Nucleoplasm				Nucleoplasm						Nucleoplasm (GO:0005654)
ENSG00000001460	STPG1	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000001461	NIPAL3	Approved	Nucleoplasm					Nucleoplasm					Nucleoplasm (GO:0005654)
ENSG00000001497	LAS1L	Approved	Nucleoplasm	Centriolar satellite;Cytosol			Nucleoplasm	Centriolar satellite;Cytosol					Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ENSG00000001629	ANKIB1	Supported	Cytosol;Plasma membrane				Cytosol;Plasma membrane						Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000001630	CYP51A1	Enhanced	Endoplasmic reticulum			Endoplasmic reticulum				Endoplasmic reticulum			Endoplasmic reticulum (GO:0005783)
ENSG00000001631	KRIT1	Uncertain	Vesicles						Vesicles				Vesicles (GO:0043231)
ENSG00000002016	RAD52	Approved	Nuclear speckles	Plasma membrane				Nuclear speckles;Plasma membrane					Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)
ENSG00000002330	BAD	Enhanced	Mitochondria			Mitochondria							Mitochondria (GO:0005739)
ENSG00000002549	LAP3	Supported	Cytosol	Midbody;Nucleoplasm			Cytosol	Midbody;Nucleoplasm		Midbody		Midbody (biological definition)	Cytosol (GO:0005829);Midbody (GO:0030496);Nucleoplasm (GO:0005654)
ENSG00000002586	CD99	Approved	Golgi apparatus					Golgi apparatus					Golgi apparatus (GO:0005794)
ENSG00000002587	HS3ST1	Approved	Vesicles					Vesicles					Vesicles (GO:0043231)
ENSG00000002746	HECW1	Supported	Cytosol				Cytosol						Cytosol (GO:0005829)
